league,season,team,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_
ENG-Premier League,2526,Arsenal,23,14,27,200,68,34.0,14.29,4.86,0.13,0.37,15.3,5,2,2,23.5,21.9,0.11,3.5,3.1,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,23,14,20,163,57,35.0,11.64,4.07,0.12,0.35,17.6,6,0,0,14.2,14.2,0.09,5.8,5.8,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,24,14,21,180,64,35.6,12.86,4.57,0.11,0.3,18.7,10,2,3,19.3,16.9,0.1,1.7,2.1,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2526,Brentford,21,14,21,140,50,35.7,10.0,3.57,0.11,0.32,14.9,1,5,7,21.6,16.1,0.12,-0.6,-0.1,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2526,Brighton,25,14,23,177,63,35.6,12.64,4.5,0.12,0.33,18.6,8,2,3,21.2,18.9,0.11,1.8,2.1,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,23,14,15,114,41,36.0,8.14,2.93,0.12,0.34,18.0,8,1,1,10.4,9.6,0.09,4.6,4.4,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2526,Chelsea,25,14,25,197,71,36.0,14.07,5.07,0.12,0.34,16.6,7,1,1,24.0,23.2,0.12,1.0,0.8,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,22,14,17,159,54,34.0,11.36,3.86,0.09,0.26,16.3,2,3,3,22.7,20.4,0.13,-5.7,-6.4,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,19,14,15,147,40,27.2,10.5,2.86,0.1,0.35,16.3,6,1,1,17.4,16.6,0.12,-2.4,-2.6,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,23,14,16,164,47,28.7,11.71,3.36,0.1,0.34,16.9,3,0,0,14.2,14.2,0.09,1.8,1.8,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,23,14,16,170,48,28.2,12.14,3.43,0.09,0.31,16.1,4,1,2,18.2,16.5,0.1,-2.2,-1.5,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,22,14,20,215,57,26.5,15.36,4.07,0.09,0.33,17.2,5,1,1,22.2,21.5,0.1,-2.2,-2.5,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,23,14,29,197,71,36.0,14.07,5.07,0.15,0.41,15.8,4,0,1,26.7,25.9,0.14,2.3,3.1,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,21,13,19,194,65,33.5,14.92,5.0,0.09,0.28,16.6,2,1,3,21.1,18.7,0.1,-2.1,-0.7,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle Utd,23,14,19,170,56,32.9,12.14,4.0,0.1,0.3,17.6,1,2,2,18.9,17.3,0.11,0.1,-0.3,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nott'ham Forest,25,14,14,174,55,31.6,12.43,3.93,0.07,0.24,16.9,5,1,1,16.7,15.9,0.09,-2.7,-2.9,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,25,14,17,134,41,30.6,9.57,2.93,0.11,0.37,16.1,2,2,2,12.3,10.8,0.08,4.7,4.2,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham,20,14,22,132,43,32.6,9.43,3.07,0.17,0.51,15.4,3,0,0,12.6,12.6,0.1,9.4,9.4,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,25,13,14,126,45,35.7,9.69,3.46,0.1,0.29,16.3,3,1,1,13.3,12.5,0.11,0.7,0.5,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,25,14,6,126,40,31.7,9.0,2.86,0.04,0.13,17.1,7,1,1,12.7,11.9,0.1,-6.7,-6.9,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
