league,season,team,players_used_,Age_,Poss_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url_
ENG-Premier League,2526,Arsenal,23,26.4,58.6,13,143,1170,13,25,19,44,23,2,2,18,0,21.9,20.3,14.3,34.6,259,572,1.92,1.46,3.38,1.77,3.23,1.68,1.1,2.78,1.56,2.66,/en/squads/18bb7c10/Arsenal-Stats
ENG-Premier League,2526,Aston Villa,23,28.4,53.5,13,143,1170,13,16,12,28,16,0,0,20,1,11.7,11.7,9.3,20.9,188,479,1.23,0.92,2.15,1.23,2.15,0.9,0.71,1.61,0.9,1.61,/en/squads/8602292d/Aston-Villa-Stats
ENG-Premier League,2526,Bournemouth,24,25.8,53.1,13,143,1170,13,21,12,33,19,2,3,35,1,18.8,16.4,11.2,27.6,246,509,1.62,0.92,2.54,1.46,2.38,1.45,0.86,2.31,1.26,2.12,/en/squads/4ba7cbea/Bournemouth-Stats
ENG-Premier League,2526,Brentford,21,25.5,43.5,13,143,1170,13,21,9,30,16,5,7,25,0,21.2,15.8,12.0,27.8,162,338,1.62,0.69,2.31,1.23,1.92,1.63,0.92,2.56,1.21,2.14,/en/squads/cd051869/Brentford-Stats
ENG-Premier League,2526,Brighton,25,26.0,49.9,13,143,1170,13,21,12,33,19,2,3,33,0,19.3,17.0,13.0,30.0,236,442,1.62,0.92,2.54,1.46,2.38,1.48,1.0,2.48,1.31,2.3,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2526,Burnley,23,27.7,40.0,13,143,1170,13,15,11,26,14,1,1,22,1,9.5,8.7,6.7,15.5,114,298,1.15,0.85,2.0,1.08,1.92,0.73,0.52,1.25,0.67,1.19,/en/squads/943e8050/Burnley-Stats
ENG-Premier League,2526,Chelsea,25,24.6,57.3,13,143,1170,13,24,18,42,23,1,1,27,4,22.9,22.1,18.5,40.6,261,514,1.85,1.38,3.23,1.77,3.15,1.76,1.42,3.18,1.7,3.12,/en/squads/cff3d9bb/Chelsea-Stats
ENG-Premier League,2526,Crystal Palace,22,26.8,42.9,13,143,1170,13,16,8,24,13,3,3,25,0,22.1,19.8,13.9,33.6,160,398,1.23,0.62,1.85,1.0,1.62,1.7,1.07,2.76,1.52,2.59,/en/squads/47c64c55/Crystal-Palace-Stats
ENG-Premier League,2526,Everton,19,28.5,44.4,13,143,1170,13,14,11,25,13,1,1,26,1,16.0,15.2,12.3,27.4,189,439,1.08,0.85,1.92,1.0,1.85,1.23,0.94,2.17,1.17,2.11,/en/squads/d3fd31cc/Everton-Stats
ENG-Premier League,2526,Fulham,23,28.3,49.8,13,143,1170,13,12,9,21,12,0,0,26,0,13.3,13.3,10.0,23.3,246,453,0.92,0.69,1.62,0.92,1.62,1.02,0.77,1.79,1.02,1.79,/en/squads/fd962109/Fulham-Stats
ENG-Premier League,2526,Leeds United,22,27.0,47.5,13,143,1170,13,13,4,17,12,1,2,22,0,15.9,14.2,10.1,24.3,188,395,1.0,0.31,1.31,0.92,1.23,1.22,0.77,2.0,1.09,1.87,/en/squads/5bfb9659/Leeds-United-Stats
ENG-Premier League,2526,Liverpool,22,27.0,61.2,13,143,1170,13,20,14,34,19,1,1,25,0,20.8,20.1,16.6,36.7,308,685,1.54,1.08,2.62,1.46,2.54,1.6,1.28,2.88,1.54,2.82,/en/squads/822bd0ba/Liverpool-Stats
ENG-Premier League,2526,Manchester City,23,25.6,57.6,13,143,1170,13,25,22,47,25,0,1,25,0,24.4,23.6,21.0,44.7,348,527,1.92,1.69,3.62,1.92,3.62,1.88,1.62,3.5,1.82,3.43,/en/squads/b8fd03ef/Manchester-City-Stats
ENG-Premier League,2526,Manchester Utd,21,26.5,52.3,13,143,1170,13,19,15,34,18,1,3,18,1,21.1,18.7,13.8,32.6,239,525,1.46,1.15,2.62,1.38,2.54,1.62,1.06,2.69,1.44,2.51,/en/squads/19538871/Manchester-United-Stats
ENG-Premier League,2526,Newcastle Utd,23,27.9,49.8,13,143,1170,13,17,11,28,16,1,1,15,2,16.9,16.1,13.3,29.4,203,578,1.31,0.85,2.15,1.23,2.08,1.3,1.02,2.32,1.24,2.26,/en/squads/b2b47a98/Newcastle-United-Stats
ENG-Premier League,2526,Nott'ham Forest,25,26.5,50.5,13,143,1170,13,13,6,19,12,1,1,20,0,15.8,15.0,11.5,26.5,229,572,1.0,0.46,1.46,0.92,1.38,1.21,0.88,2.1,1.15,2.04,/en/squads/e4a775cb/Nottingham-Forest-Stats
ENG-Premier League,2526,Sunderland,24,25.8,43.2,13,143,1170,13,16,11,27,14,2,2,27,1,11.9,10.3,7.7,18.0,174,389,1.23,0.85,2.08,1.08,1.92,0.92,0.59,1.51,0.8,1.39,/en/squads/8ef52968/Sunderland-Stats
ENG-Premier League,2526,Tottenham,20,25.8,53.5,13,143,1170,13,20,18,38,20,0,0,32,0,11.9,11.9,9.0,20.9,234,466,1.54,1.38,2.92,1.54,2.92,0.92,0.69,1.61,0.92,1.61,/en/squads/361ca564/Tottenham-Hotspur-Stats
ENG-Premier League,2526,West Ham,25,27.2,44.2,13,143,1170,13,14,8,22,13,1,1,22,2,13.3,12.5,7.8,20.2,149,384,1.08,0.62,1.69,1.0,1.62,1.02,0.6,1.62,0.96,1.56,/en/squads/7c21e445/West-Ham-United-Stats
ENG-Premier League,2526,Wolves,25,26.8,47.3,13,143,1170,13,6,4,10,5,1,1,26,2,11.9,11.1,7.2,18.4,181,382,0.46,0.31,0.77,0.38,0.69,0.92,0.56,1.47,0.86,1.41,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
