Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Arsenal,23,26.9,41.7,12,132,1080,12.0,6,4,10,6,0,0,19,0,6.1,6.1,5.1,11.2,157,278,0.83,0.93,23,12.0,6,84,23,27.4,7.0,1.92,0.07,0.26,17.6,3,0,0,6.1,6.1,0.07,-0.1,-0.1,1,12,12,1080,12.0,24,2.0,59,35,62.7,1,2,9,1,8.3,2,2,0,0,23,12.0,19,0,0,131,122,10,129,93,115,0,2,0,399,170,195,46.6
vs Aston Villa,23,26.9,46.4,12,132,1080,12.0,11,6,17,10,1,2,30,1,16.2,14.6,11.1,25.7,216,391,1.33,2.28,23,12.0,11,149,35,23.5,12.42,2.92,0.07,0.29,17.0,2,1,2,16.2,14.6,0.1,-5.2,-4.6,2,12,12,1080,12.0,15,1.25,42,27,64.3,3,3,6,5,41.7,0,0,0,0,23,12.0,30,1,0,173,120,38,220,114,142,1,0,0,497,149,142,51.2
vs Bournemouth,24,27.0,47.1,13,143,1170,13.0,23,16,39,21,2,2,28,1,16.8,15.3,12.5,27.8,189,395,2.85,2.26,24,13.0,23,144,59,41.0,11.08,4.54,0.15,0.36,16.4,3,2,2,16.8,15.3,0.11,6.2,5.7,1,13,13,1170,13.0,21,1.62,65,43,70.8,4,4,5,2,15.4,3,2,1,0,24,13.0,28,1,0,137,162,16,210,93,149,2,3,0,530,220,182,54.7
vs Brentford,21,26.7,56.5,13,143,1170,13.0,18,10,28,16,2,3,28,1,15.5,13.1,9.1,22.2,225,487,2.0,1.89,21,13.0,18,151,43,28.5,11.62,3.31,0.11,0.37,18.2,3,2,3,15.5,13.1,0.09,2.5,2.9,1,13,13,1170,13.0,21,1.62,56,33,71.4,6,1,6,2,15.4,7,5,2,0,21,13.0,28,1,1,120,139,15,228,88,137,3,7,0,507,220,244,47.4
vs Brighton,25,26.5,49.9,12,132,1080,12.0,14,10,24,12,2,3,27,1,15.0,12.6,9.9,22.5,181,393,1.83,2.07,25,12.0,14,124,39,31.5,10.33,3.25,0.1,0.31,16.8,6,2,3,15.0,12.6,0.1,-1.0,-0.6,1,12,12,1080,12.0,19,1.58,55,35,69.1,3,4,5,2,16.7,3,2,1,0,25,12.0,27,1,0,126,143,14,188,104,128,3,3,0,481,172,159,52.0
vs Burnley,23,26.4,60.0,13,143,1170,13.0,24,14,38,20,4,4,17,0,27.8,24.7,18.1,42.8,332,565,2.62,3.53,23,13.0,24,217,69,31.8,16.69,5.31,0.09,0.29,15.9,4,4,4,27.8,24.7,0.12,-3.8,-4.7,1,13,13,1170,13.0,15,1.15,39,24,64.1,9,1,3,4,30.8,1,1,0,0,23,13.0,17,0,0,124,123,21,345,96,101,3,1,0,511,240,203,54.2
vs Chelsea,25,26.8,41.1,12,132,1080,12.0,11,10,21,11,0,0,28,1,13.9,13.9,11.5,25.4,162,364,1.75,2.11,25,12.0,11,112,31,27.7,9.33,2.58,0.1,0.35,16.5,6,0,0,13.9,13.9,0.13,-2.9,-2.9,2,12,12,1080,12.0,23,1.92,66,43,66.7,3,2,7,1,8.3,1,1,0,0,25,12.0,28,1,1,153,131,16,174,102,129,0,1,0,433,140,160,46.7
vs Crystal Palace,22,26.5,57.2,12,132,1080,12.0,9,3,12,8,1,1,29,0,14.4,13.6,8.9,22.5,177,474,0.92,1.94,22,12.0,9,127,34,26.8,10.58,2.83,0.06,0.24,16.1,4,1,1,14.4,13.6,0.11,-5.4,-5.6,1,12,12,1080,12.0,16,1.33,51,36,72.5,2,5,5,4,33.3,2,2,0,0,22,12.0,29,0,0,130,110,17,249,99,94,1,2,1,484,224,218,50.7
vs Everton,19,26.7,55.6,13,143,1170,13.0,17,15,32,16,1,2,22,0,18.7,17.3,13.2,30.5,226,543,2.38,2.46,19,13.0,17,180,53,29.4,13.85,4.08,0.09,0.3,16.9,4,1,2,18.7,17.3,0.1,-1.7,-1.3,1,13,13,1170,13.0,14,1.08,38,24,65.8,5,3,5,4,30.8,1,1,0,0,19,13.0,22,0,0,152,122,21,230,100,132,0,1,0,519,228,270,45.8
vs Fulham,23,26.6,50.2,13,143,1170,13.0,16,11,27,14,2,3,21,1,15.5,13.1,9.8,22.9,227,521,1.92,1.94,23,13.0,16,139,49,35.3,10.69,3.77,0.1,0.29,16.3,5,2,3,15.5,13.1,0.1,0.5,0.9,1,13,13,1170,13.0,15,1.15,42,30,64.3,6,2,5,3,23.1,0,0,0,0,23,13.0,21,1,0,147,157,29,241,101,110,2,0,3,506,205,156,56.8
