league,season,team,players_used_,Age_,Poss_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url_
ESP-La Liga,2526,Alavés,23,27.8,50.0,14,154,1260,14,11,5,16,8,3,3,34,1,14.5,12.3,9.2,21.5,183,439,0.79,0.36,1.14,0.57,0.93,1.03,0.66,1.69,0.88,1.54,/en/squads/8d6fd021/Alaves-Stats
ESP-La Liga,2526,Athletic Club,25,28.0,49.1,14,154,1260,14,13,6,19,10,3,3,25,4,19.0,16.6,12.5,29.1,223,579,0.93,0.43,1.36,0.71,1.14,1.35,0.89,2.25,1.19,2.08,/en/squads/2b390eca/Athletic-Club-Stats
ESP-La Liga,2526,Atlético Madrid,23,28.2,54.9,14,154,1260,14,24,15,39,22,2,3,27,2,25.7,23.5,19.3,42.9,291,654,1.71,1.07,2.79,1.57,2.64,1.83,1.38,3.21,1.68,3.06,/en/squads/db3b9613/Atletico-Madrid-Stats
ESP-La Liga,2526,Barcelona,25,25.4,67.1,14,154,1260,14,38,29,67,36,2,3,24,2,30.0,27.7,22.4,50.1,348,728,2.71,2.07,4.79,2.57,4.64,2.14,1.6,3.74,1.98,3.58,/en/squads/206d90db/Barcelona-Stats
ESP-La Liga,2526,Betis,26,28.1,52.4,13,143,1170,13,19,18,37,19,0,0,26,1,18.8,18.8,16.1,34.9,251,549,1.46,1.38,2.85,1.46,2.85,1.45,1.24,2.68,1.45,2.68,/en/squads/fc536746/Real-Betis-Stats
ESP-La Liga,2526,Celta Vigo,25,26.5,50.9,13,143,1170,13,16,11,27,14,2,2,27,1,15.9,14.4,11.9,26.3,223,569,1.23,0.85,2.08,1.08,1.92,1.22,0.91,2.14,1.11,2.02,/en/squads/f25da7fb/Celta-Vigo-Stats
ESP-La Liga,2526,Elche,27,27.1,58.7,14,154,1260,14,15,11,26,15,0,1,27,2,15.1,14.3,11.7,26.0,241,531,1.07,0.79,1.86,1.07,1.86,1.08,0.83,1.91,1.02,1.85,/en/squads/6c8b07df/Elche-Stats
ESP-La Liga,2526,Espanyol,22,27.8,41.9,13,143,1170,13,17,13,30,15,2,3,24,1,21.6,19.3,16.1,35.4,225,462,1.31,1.0,2.31,1.15,2.15,1.67,1.24,2.9,1.48,2.72,/en/squads/a8661628/Espanyol-Stats
ESP-La Liga,2526,Getafe,23,28.8,40.9,14,154,1260,14,13,12,25,13,0,0,34,2,10.2,10.2,6.9,17.1,122,347,0.93,0.86,1.79,0.93,1.79,0.73,0.5,1.22,0.73,1.22,/en/squads/7848bd64/Getafe-Stats
ESP-La Liga,2526,Girona,28,27.8,47.6,13,143,1170,13,12,7,19,9,3,3,28,5,14.4,12.1,9.8,21.9,244,467,0.92,0.54,1.46,0.69,1.23,1.11,0.75,1.86,0.93,1.69,/en/squads/9024a00a/Girona-Stats
ESP-La Liga,2526,Levante,25,27.2,40.6,14,154,1260,14,16,8,24,15,1,2,30,1,18.7,17.3,11.8,29.1,136,353,1.14,0.57,1.71,1.07,1.64,1.33,0.84,2.17,1.24,2.08,/en/squads/9800b6a1/Levante-Stats
ESP-La Liga,2526,Mallorca,25,28.3,45.3,14,154,1260,14,15,11,26,13,2,2,30,3,13.8,12.2,9.4,21.6,168,444,1.07,0.79,1.86,0.93,1.71,0.98,0.67,1.66,0.87,1.54,/en/squads/2aa12281/Mallorca-Stats
ESP-La Liga,2526,Osasuna,21,28.5,46.7,14,154,1260,14,12,9,21,10,2,3,32,3,15.2,12.9,10.0,22.9,179,422,0.86,0.64,1.5,0.71,1.36,1.09,0.72,1.8,0.92,1.64,/en/squads/03c57e2b/Osasuna-Stats
ESP-La Liga,2526,Oviedo,27,28.9,43.6,14,154,1260,14,7,3,10,6,1,2,31,4,11.3,9.8,6.7,16.5,194,393,0.5,0.21,0.71,0.43,0.64,0.81,0.48,1.29,0.7,1.18,/en/squads/ab358912/Oviedo-Stats
ESP-La Liga,2526,Rayo Vallecano,24,29.4,53.2,13,143,1170,13,12,9,21,11,1,2,30,2,18.6,17.0,13.3,30.4,223,493,0.92,0.69,1.62,0.85,1.54,1.43,1.03,2.46,1.31,2.33,/en/squads/98e8af82/Rayo-Vallecano-Stats
ESP-La Liga,2526,Real Madrid,23,25.6,59.5,13,143,1170,13,28,22,50,24,4,6,24,2,30.8,26.1,21.8,47.9,329,734,2.15,1.69,3.85,1.85,3.54,2.37,1.68,4.05,2.0,3.69,/en/squads/53a2f082/Real-Madrid-Stats
ESP-La Liga,2526,Real Sociedad,26,26.5,50.5,13,143,1170,13,17,11,28,14,3,3,30,0,18.1,15.8,13.2,29.1,227,495,1.31,0.85,2.15,1.08,1.92,1.4,1.02,2.41,1.22,2.24,/en/squads/e31d1cd9/Real-Sociedad-Stats
ESP-La Liga,2526,Sevilla,28,27.7,53.5,13,143,1170,13,17,14,31,15,2,2,42,0,13.0,11.7,10.2,21.8,228,427,1.31,1.08,2.38,1.15,2.23,1.0,0.78,1.78,0.9,1.68,/en/squads/ad2be733/Sevilla-Stats
ESP-La Liga,2526,Valencia,21,27.0,47.2,13,143,1170,13,12,11,23,12,0,1,24,1,14.0,13.2,10.2,23.4,199,443,0.92,0.85,1.77,0.92,1.77,1.07,0.79,1.86,1.01,1.8,/en/squads/dcc91a7b/Valencia-Stats
ESP-La Liga,2526,Villarreal,25,26.5,46.6,13,143,1170,13,26,18,44,25,1,1,28,1,22.8,22.0,16.8,38.8,283,516,2.0,1.38,3.38,1.92,3.31,1.75,1.29,3.05,1.69,2.99,/en/squads/2a8183b3/Villarreal-Stats
