Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,23,27.8,50.0,14,154,1260,14.0,15,10,25,14,1,1,31,1,13.8,13.0,9.1,22.1,209,477,1.71,1.64,23,14.0,15,156,46,29.5,11.14,3.29,0.09,0.3,18.6,5,1,1,13.8,13.0,0.08,1.2,1.0,1,14,14,1260,14.0,12,0.86,48,37,81.3,7,3,4,6,42.9,3,3,0,0,23,14.0,31,1,0,192,212,23,238,113,155,1,3,1,583,230,249,48.0
vs Athletic Club,25,27.4,50.9,14,154,1260,14.0,16,11,27,16,0,0,32,1,13.3,13.3,9.7,23.1,192,368,1.93,1.65,25,14.0,16,136,52,38.2,9.71,3.71,0.12,0.31,17.1,0,0,0,13.3,13.3,0.1,2.7,2.7,1,14,14,1260,14.0,14,1.0,56,43,80.4,6,2,6,6,42.9,3,3,0,0,25,14.0,32,1,1,185,182,61,213,139,149,0,3,1,618,197,199,49.7
vs Atlético Madrid,23,28.0,45.1,14,154,1260,14.0,11,9,20,10,1,1,34,0,13.6,12.8,10.4,23.2,202,485,1.36,1.72,23,14.0,11,131,35,26.7,9.36,2.5,0.08,0.29,18.4,4,1,1,13.6,12.8,0.1,-2.6,-2.8,2,14,14,1260,14.0,27,1.93,85,60,70.6,1,4,9,0,0.0,3,2,1,0,23,14.0,34,0,0,148,146,17,240,101,140,1,3,3,528,196,192,50.5
vs Barcelona,25,28.0,32.9,14,154,1260,14.0,16,13,29,14,2,3,40,4,17.9,15.8,14.4,30.2,146,321,1.93,2.31,25,14.0,16,123,46,37.4,8.79,3.29,0.11,0.3,15.7,2,2,3,17.9,15.8,0.13,-1.9,-1.8,2,14,14,1260,14.0,39,2.79,106,68,65.1,2,1,11,0,0.0,3,2,0,1,25,14.0,40,4,1,172,128,70,164,115,150,1,3,1,526,106,162,39.6
vs Betis,26,27.3,47.6,13,143,1170,13.0,13,10,23,13,0,1,34,1,13.8,13.0,11.0,24.0,261,524,1.77,1.91,26,13.0,13,145,46,31.7,11.15,3.54,0.09,0.28,17.6,4,0,1,13.8,13.0,0.09,-0.8,0.0,2,13,13,1170,13.0,20,1.54,61,42,67.2,2,6,5,1,7.7,0,0,0,0,26,13.0,34,1,0,187,109,42,238,115,135,1,0,1,594,158,169,48.3
vs Celta Vigo,25,27.9,49.1,13,143,1170,13.0,17,11,28,15,2,5,34,3,17.6,13.8,10.9,24.7,211,445,2.0,2.2,25,13.0,17,152,58,38.2,11.69,4.46,0.1,0.26,17.6,3,2,5,17.6,13.8,0.09,-0.6,1.2,1,13,13,1170,13.0,16,1.23,49,33,71.4,3,7,3,1,7.7,2,2,0,0,25,13.0,34,3,2,158,149,24,234,122,126,2,2,0,558,122,104,54.0
vs Elche,27,27.6,41.3,14,154,1260,14.0,17,15,32,15,2,2,30,0,19.5,18.1,14.8,32.9,225,441,2.14,2.45,27,14.0,17,180,55,30.6,12.86,3.93,0.08,0.27,18.8,6,2,2,19.5,18.1,0.1,-2.5,-3.1,2,14,14,1260,14.0,15,1.07,56,40,73.2,4,7,3,3,21.4,1,0,1,0,27,14.0,30,0,0,224,168,25,249,106,135,1,1,0,593,178,140,56.0
vs Espanyol,22,27.4,58.1,13,143,1170,13.0,15,10,25,14,1,1,32,1,16.4,15.6,11.9,27.5,258,553,1.85,2.18,22,13.0,15,178,56,31.5,13.69,4.31,0.08,0.25,17.6,6,1,1,16.4,15.6,0.09,-1.4,-1.6,1,13,13,1170,13.0,17,1.31,61,43,75.4,4,3,6,3,23.1,3,2,1,0,22,13.0,32,1,1,143,151,16,225,85,111,1,3,0,518,230,179,56.2
vs Getafe,23,27.5,59.1,14,154,1260,14.0,13,11,24,12,1,1,29,2,13.5,12.8,10.4,23.2,207,479,1.64,1.71,23,14.0,13,144,58,40.3,10.29,4.14,0.08,0.21,18.2,8,1,1,13.5,12.8,0.09,-0.5,-0.8,1,14,14,1260,14.0,13,0.93,38,25,65.8,6,2,6,5,35.7,0,0,0,0,23,14.0,29,2,0,201,200,35,211,83,139,1,0,0,560,284,215,56.9
vs Girona,28,27.3,52.4,13,143,1170,13.0,25,16,41,22,3,3,20,1,23.4,21.2,16.2,37.4,245,557,2.92,3.05,28,13.0,25,222,71,32.0,17.08,5.46,0.1,0.31,17.1,7,3,3,23.4,21.2,0.1,1.6,0.8,2,13,13,1170,13.0,12,0.92,48,36,81.3,6,5,2,4,30.8,3,3,0,0,28,13.0,20,1,0,173,133,17,268,87,134,2,3,0,517,164,162,50.3
