league,season,team,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_
FRA-Ligue 1,2526,Angers,25,16,16,146,55,37.7,9.12,3.44,0.1,0.25,18.1,2,2,2,16.2,14.8,0.11,-0.2,-0.8,/en/squads/69236f98/Angers-Stats
FRA-Ligue 1,2526,Auxerre,25,15,10,159,51,32.1,10.6,3.4,0.05,0.16,18.5,3,2,4,16.9,13.9,0.09,-6.9,-5.9,/en/squads/5ae09109/Auxerre-Stats
FRA-Ligue 1,2526,Brest,26,16,20,188,58,30.9,11.75,3.62,0.08,0.26,18.4,3,5,7,24.2,18.7,0.1,-4.2,-3.7,/en/squads/fb08dbb3/Brest-Stats
FRA-Ligue 1,2526,Le Havre,24,15,13,174,52,29.9,11.6,3.47,0.07,0.23,18.5,7,1,3,19.1,16.7,0.1,-6.1,-4.7,/en/squads/5c2737db/Le-Havre-Stats
FRA-Ligue 1,2526,Lens,22,15,25,204,71,34.8,13.6,4.73,0.11,0.31,15.3,3,3,4,28.9,25.7,0.13,-3.9,-3.7,/en/squads/fd4e0f7d/Lens-Stats
FRA-Ligue 1,2526,Lille,28,15,29,222,71,32.0,14.8,4.73,0.12,0.37,17.0,2,3,4,28.3,25.3,0.12,0.7,0.7,/en/squads/cb188c0c/Lille-Stats
FRA-Ligue 1,2526,Lorient,23,15,18,178,57,32.0,11.87,3.8,0.1,0.3,17.4,6,1,4,20.9,17.7,0.1,-2.9,-0.7,/en/squads/d2c87802/Lorient-Stats
FRA-Ligue 1,2526,Lyon,25,15,20,182,65,35.7,12.13,4.33,0.11,0.31,16.4,4,0,2,23.0,21.5,0.13,-3.0,-1.5,/en/squads/d53c0b06/Lyon-Stats
FRA-Ligue 1,2526,Marseille,30,15,34,206,80,38.8,13.73,5.33,0.15,0.38,17.9,6,4,5,28.0,24.6,0.12,6.0,5.4,/en/squads/5725cc7b/Marseille-Stats
FRA-Ligue 1,2526,Metz,27,16,16,139,46,33.1,8.69,2.87,0.09,0.28,18.1,3,3,4,17.8,14.6,0.11,-1.8,-1.6,/en/squads/f83960ae/Metz-Stats
FRA-Ligue 1,2526,Monaco,28,15,24,183,55,30.1,12.2,3.67,0.11,0.36,15.9,3,4,5,28.9,24.9,0.14,-4.9,-4.9,/en/squads/fd6114db/Monaco-Stats
FRA-Ligue 1,2526,Nantes,24,16,14,154,39,25.3,9.62,2.44,0.09,0.36,19.5,7,0,2,12.9,11.2,0.07,1.1,2.8,/en/squads/d7a486cd/Nantes-Stats
FRA-Ligue 1,2526,Nice,27,15,17,168,57,33.9,11.2,3.8,0.09,0.26,17.9,4,2,2,17.3,15.8,0.09,-0.3,-0.8,/en/squads/132ebc33/Nice-Stats
FRA-Ligue 1,2526,Paris FC,25,16,21,196,55,28.1,12.25,3.44,0.09,0.33,18.2,1,3,3,21.2,18.9,0.1,-0.2,-0.9,/en/squads/056a5a75/Paris-FC-Stats
FRA-Ligue 1,2526,Paris S-G,23,16,35,279,107,38.4,17.44,6.69,0.11,0.3,18.5,12,3,4,29.2,26.0,0.1,5.8,6.0,/en/squads/e2d8892c/Paris-Saint-Germain-Stats
FRA-Ligue 1,2526,Rennes,28,16,26,196,69,35.2,12.25,4.31,0.12,0.35,18.1,3,2,2,24.3,22.7,0.12,1.7,1.3,/en/squads/b3072e00/Rennes-Stats
FRA-Ligue 1,2526,Strasbourg,25,15,25,164,60,36.6,10.93,4.0,0.14,0.38,16.2,9,2,2,24.0,22.4,0.14,1.0,0.6,/en/squads/c0d3eab4/Strasbourg-Stats
FRA-Ligue 1,2526,Toulouse,22,16,23,188,55,29.3,11.75,3.44,0.1,0.35,16.2,3,4,7,22.8,17.4,0.09,0.2,1.6,/en/squads/3f8c4b5f/Toulouse-Stats
