league,season,team,players_used_,Age_,Poss_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,url_
GER-Bundesliga,2526,Augsburg,23,26.0,45.3,14,154,1260,14,17,11,28,16,1,1,42,1,15.7,14.9,11.4,26.3,189,485,1.21,0.79,2.0,1.14,1.93,1.12,0.81,1.94,1.06,1.88,/en/squads/0cdc4311/Augsburg-Stats
GER-Bundesliga,2526,Bayern Munich,22,28.4,65.8,13,143,1170,13,48,38,86,43,5,5,31,0,35.0,31.4,25.6,57.0,306,755,3.69,2.92,6.62,3.31,6.23,2.69,1.97,4.66,2.42,4.39,/en/squads/054efa67/Bayern-Munich-Stats
GER-Bundesliga,2526,Dortmund,23,27.0,52.8,13,143,1170,13,23,19,42,22,1,2,21,1,20.6,19.0,15.9,34.9,235,646,1.77,1.46,3.23,1.69,3.15,1.58,1.22,2.81,1.46,2.69,/en/squads/add600ae/Dortmund-Stats
GER-Bundesliga,2526,Eint Frankfurt,23,25.6,54.7,14,154,1260,14,29,22,51,27,2,2,23,0,20.7,19.1,15.7,34.9,235,603,2.07,1.57,3.64,1.93,3.5,1.48,1.12,2.6,1.37,2.49,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
GER-Bundesliga,2526,Freiburg,23,27.4,51.2,13,143,1170,13,19,10,29,16,3,3,18,2,19.0,16.6,13.4,30.0,185,430,1.46,0.77,2.23,1.23,2.0,1.46,1.03,2.49,1.28,2.31,/en/squads/a486e511/Freiburg-Stats
GER-Bundesliga,2526,Gladbach,25,26.5,46.5,14,154,1260,14,16,13,29,14,2,4,19,1,19.1,15.9,12.9,28.8,207,501,1.14,0.93,2.07,1.0,1.93,1.36,0.92,2.29,1.14,2.06,/en/squads/32f3ee20/Monchengladbach-Stats
GER-Bundesliga,2526,Hamburger SV,26,26.4,47.1,14,154,1260,14,15,12,27,15,0,2,34,5,17.3,15.7,12.7,28.4,229,450,1.07,0.86,1.93,1.07,1.93,1.23,0.91,2.14,1.12,2.03,/en/squads/26790c6a/Hamburger-SV-Stats
GER-Bundesliga,2526,Heidenheim,25,27.2,43.1,14,154,1260,14,13,11,24,13,0,0,24,1,17.3,17.3,14.6,31.9,179,442,0.93,0.79,1.71,0.93,1.71,1.24,1.04,2.28,1.24,2.28,/en/squads/18d9d2a7/Heidenheim-Stats
GER-Bundesliga,2526,Hoffenheim,23,26.9,53.6,14,154,1260,14,27,22,49,25,2,2,27,0,22.2,20.6,17.5,38.1,204,564,1.93,1.57,3.5,1.79,3.36,1.59,1.25,2.83,1.47,2.72,/en/squads/033ea6b8/Hoffenheim-Stats
GER-Bundesliga,2526,Köln,22,25.9,47.4,14,154,1260,14,22,15,37,21,1,1,24,0,20.2,19.4,14.8,34.2,194,444,1.57,1.07,2.64,1.5,2.57,1.44,1.06,2.5,1.39,2.44,/en/squads/bc357bf7/Koln-Stats
GER-Bundesliga,2526,Leverkusen,25,26.6,59.4,14,154,1260,14,30,20,50,27,3,3,34,2,24.3,21.9,15.3,37.2,269,556,2.14,1.43,3.57,1.93,3.36,1.73,1.09,2.82,1.57,2.66,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
GER-Bundesliga,2526,Mainz 05,26,28.6,48.0,13,143,1170,13,11,5,16,8,3,3,33,5,15.5,13.2,10.4,23.5,161,503,0.85,0.38,1.23,0.62,1.0,1.19,0.8,1.99,1.01,1.81,/en/squads/a224b06a/Mainz-05-Stats
GER-Bundesliga,2526,RB Leipzig,26,25.7,50.5,14,154,1260,14,28,21,49,27,1,2,23,0,26.1,24.6,18.0,42.7,295,517,2.0,1.5,3.5,1.93,3.43,1.86,1.29,3.15,1.76,3.05,/en/squads/acbb6a5b/RB-Leipzig-Stats
GER-Bundesliga,2526,St. Pauli,20,27.5,47.6,14,154,1260,14,13,9,22,12,1,2,25,1,11.9,10.3,8.2,18.5,182,533,0.93,0.64,1.57,0.86,1.5,0.85,0.59,1.43,0.73,1.32,/en/squads/54864664/St-Pauli-Stats
GER-Bundesliga,2526,Stuttgart,24,25.4,58.0,13,143,1170,13,21,17,38,19,2,3,26,1,18.5,16.1,13.7,29.8,243,579,1.62,1.31,2.92,1.46,2.77,1.42,1.05,2.47,1.24,2.29,/en/squads/598bc722/Stuttgart-Stats
GER-Bundesliga,2526,Union Berlin,21,27.7,36.7,14,154,1260,14,19,12,31,19,0,2,32,1,16.2,14.6,10.6,25.2,137,357,1.36,0.86,2.21,1.36,2.21,1.16,0.76,1.92,1.05,1.8,/en/squads/7a41008f/Union-Berlin-Stats
GER-Bundesliga,2526,Werder Bremen,23,25.3,49.2,13,143,1170,13,18,13,31,16,2,3,37,2,16.2,13.8,11.6,25.4,206,501,1.38,1.0,2.38,1.23,2.23,1.24,0.89,2.13,1.06,1.96,/en/squads/62add3bf/Werder-Bremen-Stats
GER-Bundesliga,2526,Wolfsburg,26,25.9,44.9,14,154,1260,14,20,17,37,19,1,1,28,1,18.8,18.0,14.9,33.0,165,392,1.43,1.21,2.64,1.36,2.57,1.35,1.07,2.41,1.29,2.36,/en/squads/4eaa11d7/Wolfsburg-Stats
