Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Augsburg,22,27.0,54.1,12,132,1080,12.0,26,17,43,24,2,3,23,1,22.8,20.4,14.7,35.0,184,448,3.42,3.12,22,12.0,26,161,56,34.8,13.42,4.67,0.15,0.43,16.2,4,2,3,22.8,20.4,0.13,3.2,3.6,1,12,12,1080,12.0,15,1.25,48,33,70.8,8,1,3,3,25.0,1,1,0,0,22,12.0,23,1,1,144,149,30,184,127,130,1,1,0,525,211,191,52.5
vs Bayern Munich,22,26.4,33.6,12,132,1080,12.0,9,6,15,9,0,1,15,1,8.1,7.3,5.8,13.1,133,278,1.25,1.16,22,12.0,9,104,22,21.2,8.67,1.83,0.09,0.41,18.9,2,0,1,8.1,7.3,0.07,0.9,1.7,2,12,12,1080,12.0,44,3.67,93,50,57.0,0,1,11,0,0.0,4,4,0,0,22,12.0,15,1,0,122,108,19,136,127,136,1,4,1,469,105,106,49.8
vs Dortmund,23,26.8,46.4,12,132,1080,12.0,11,9,20,10,1,1,21,2,11.8,11.1,8.7,19.8,149,355,1.58,1.71,23,12.0,11,126,36,28.6,10.5,3.0,0.08,0.28,16.7,2,1,1,11.8,11.1,0.09,-0.8,-1.1,1,12,12,1078,12.0,21,1.75,54,32,63.0,1,4,7,0,0.0,2,1,1,0,23,12.0,21,2,0,125,140,26,202,123,122,1,2,0,494,140,159,46.8
vs Eint Frankfurt,22,27.4,44.3,11,121,990,11.0,22,16,38,21,1,1,23,2,12.7,11.9,10.1,22.0,164,382,3.36,2.07,22,11.0,22,122,47,38.5,11.09,4.27,0.17,0.45,17.2,5,1,1,12.7,11.9,0.1,9.3,9.1,2,11,11,990,11.0,27,2.45,54,27,51.9,3,2,6,1,9.1,1,1,0,0,22,11.0,23,2,2,108,103,37,158,90,103,1,1,0,456,172,158,52.1
vs Freiburg,23,26.3,51.7,11,121,990,11.0,20,16,36,20,0,1,30,0,14.8,14.1,11.5,25.6,160,371,3.27,2.4,23,11.0,20,141,45,31.9,12.82,4.09,0.14,0.44,17.0,3,0,1,14.8,14.1,0.1,5.2,5.9,1,11,11,990,11.0,15,1.36,37,23,67.6,4,4,3,3,27.3,3,3,0,0,23,11.0,30,0,0,151,86,19,164,86,90,0,3,1,409,214,195,52.3
vs Gladbach,24,26.5,54.4,12,132,1080,12.0,19,14,33,17,2,2,31,0,17.8,16.2,13.6,29.8,242,512,2.58,2.61,24,12.0,19,181,57,31.5,15.08,4.75,0.09,0.3,17.8,2,2,2,17.8,16.2,0.09,1.2,0.8,1,12,12,1080,12.0,16,1.33,53,36,73.6,5,4,3,6,50.0,4,2,1,1,24,12.0,31,0,0,127,137,26,235,82,90,2,4,0,496,158,178,47.0
vs Hamburger SV,25,26.7,51.7,11,121,990,11.0,17,13,30,16,1,2,25,1,17.8,16.3,12.0,28.3,160,495,2.64,2.71,25,11.0,17,165,55,33.3,15.0,5.0,0.1,0.29,18.1,8,1,2,17.8,16.3,0.1,-0.8,-0.3,1,11,11,990,11.0,9,0.82,51,41,82.4,6,3,2,6,54.5,1,0,1,0,25,11.0,25,1,1,141,140,14,194,98,92,1,1,0,422,132,168,44.0
vs Heidenheim,25,26.3,58.3,12,132,1080,12.0,27,23,50,25,2,2,29,0,22.3,20.7,16.1,36.8,255,609,4.0,3.2,25,12.0,27,188,63,33.5,15.67,5.25,0.13,0.4,16.7,5,2,2,22.3,20.7,0.11,4.7,4.3,1,12,12,1080,12.0,10,0.83,40,30,75.0,8,2,2,5,41.7,0,0,0,0,25,12.0,29,0,0,140,122,14,222,91,89,2,0,0,549,206,163,55.8
vs Hoffenheim,21,26.7,47.1,12,132,1080,12.0,17,13,30,15,2,2,16,2,18.3,16.8,13.1,29.8,177,361,2.33,2.62,21,12.0,17,151,48,31.8,12.58,4.0,0.1,0.31,16.9,4,2,2,18.3,16.8,0.12,-1.3,-1.8,1,12,12,1080,12.0,25,2.08,56,33,58.9,3,2,7,1,8.3,2,2,0,0,21,12.0,16,2,0,116,168,22,241,122,104,1,2,2,478,214,239,47.2
vs Köln,22,26.6,52.8,12,132,1080,12.0,20,11,31,17,3,4,23,4,20.3,17.1,14.2,31.2,193,473,2.33,2.87,22,12.0,20,174,56,32.2,14.5,4.67,0.1,0.3,16.6,3,3,4,20.3,17.1,0.1,-0.3,-0.1,1,12,12,1080,12.0,21,1.75,49,28,59.2,5,3,4,1,8.3,1,1,0,0,22,12.0,23,4,3,140,109,24,264,75,100,3,1,0,439,188,212,47.0
