league,season,team,players_used_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,url_
ITA-Serie A,2526,Atalanta,23,13,16,196,55,28.1,15.08,4.23,0.08,0.29,16.8,4,0,0,16.9,16.9,0.09,-0.9,-0.9,/en/squads/922493f3/Atalanta-Stats
ITA-Serie A,2526,Bologna,27,12,21,149,46,30.9,12.42,3.83,0.13,0.41,18.1,5,2,3,16.8,14.4,0.1,4.2,4.6,/en/squads/1d8099f8/Bologna-Stats
ITA-Serie A,2526,Cagliari,24,13,13,120,40,33.3,9.23,3.08,0.1,0.3,17.7,6,1,1,11.0,10.2,0.09,2.0,1.8,/en/squads/c4260e09/Cagliari-Stats
ITA-Serie A,2526,Como,23,13,19,178,68,38.2,13.69,5.23,0.11,0.28,18.6,7,0,1,17.8,16.9,0.1,1.2,2.1,/en/squads/28c9c3cd/Como-Stats
ITA-Serie A,2526,Cremonese,27,12,13,97,36,37.1,8.08,3.0,0.12,0.33,18.2,3,1,1,10.1,9.3,0.1,2.9,2.7,/en/squads/9aad3a77/Cremonese-Stats
ITA-Serie A,2526,Fiorentina,24,13,10,151,31,20.5,11.62,2.38,0.05,0.23,17.6,7,3,3,16.6,14.7,0.1,-6.6,-7.7,/en/squads/421387cf/Fiorentina-Stats
ITA-Serie A,2526,Genoa,24,13,13,159,47,29.6,12.23,3.62,0.08,0.28,17.2,7,0,2,17.9,16.3,0.11,-4.9,-3.3,/en/squads/658bf2de/Genoa-Stats
ITA-Serie A,2526,Hellas Verona,25,13,8,157,59,37.6,12.08,4.54,0.04,0.12,18.2,5,1,1,15.0,14.2,0.1,-7.0,-7.2,/en/squads/0e72edf2/Hellas-Verona-Stats
ITA-Serie A,2526,Inter,24,13,26,230,64,27.8,17.69,4.92,0.1,0.38,16.3,6,2,3,24.4,22.1,0.1,1.6,1.9,/en/squads/d609edc0/Internazionale-Stats
ITA-Serie A,2526,Juventus,24,13,17,216,70,32.4,16.62,5.38,0.07,0.21,17.6,6,2,2,18.7,17.1,0.08,-1.7,-2.1,/en/squads/e0652b02/Juventus-Stats
ITA-Serie A,2526,Lazio,24,13,15,139,51,36.7,10.69,3.92,0.1,0.27,18.3,3,1,1,14.0,13.2,0.1,1.0,0.8,/en/squads/7213da33/Lazio-Stats
ITA-Serie A,2526,Lecce,23,13,10,123,36,29.3,9.46,2.77,0.08,0.28,19.1,8,0,1,9.7,8.9,0.07,0.3,1.1,/en/squads/ffcbe334/Lecce-Stats
ITA-Serie A,2526,Milan,24,13,19,170,56,32.9,13.08,4.31,0.1,0.3,17.0,2,2,3,20.2,17.9,0.11,-1.2,-0.9,/en/squads/dc56fe14/Milan-Stats
ITA-Serie A,2526,Napoli,25,13,20,171,64,37.4,13.15,4.92,0.1,0.27,17.4,6,3,3,18.2,16.9,0.1,1.8,0.1,/en/squads/d48ad4ff/Napoli-Stats
ITA-Serie A,2526,Parma,25,13,9,141,37,26.2,10.85,2.85,0.06,0.22,18.4,6,1,1,12.2,11.5,0.08,-3.2,-3.5,/en/squads/eab4234c/Parma-Stats
ITA-Serie A,2526,Pisa,26,13,9,123,28,22.8,9.46,2.15,0.04,0.18,16.6,0,4,4,13.4,10.5,0.09,-4.4,-5.5,/en/squads/4cceedfc/Pisa-Stats
ITA-Serie A,2526,Roma,23,13,15,176,63,35.8,13.54,4.85,0.08,0.22,17.2,8,1,2,16.7,15.3,0.09,-1.7,-1.3,/en/squads/cf74a709/Roma-Stats
ITA-Serie A,2526,Sassuolo,25,13,16,141,48,34.0,10.85,3.69,0.1,0.29,18.0,7,2,3,14.1,11.6,0.08,1.9,2.4,/en/squads/e2befd26/Sassuolo-Stats
ITA-Serie A,2526,Torino,25,13,11,147,50,34.0,11.31,3.85,0.07,0.2,18.5,3,1,3,15.2,12.8,0.09,-4.2,-2.8,/en/squads/105360fe/Torino-Stats
ITA-Serie A,2526,Udinese,26,13,14,151,47,31.1,11.62,3.62,0.08,0.26,19.0,5,2,2,14.2,12.7,0.09,-0.2,-0.7,/en/squads/04eea015/Udinese-Stats
