Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Atalanta,22,27.1,43.2,12,132,1080,12.0,13,7,20,12,1,2,15,0,11.4,9.8,7.0,16.9,174,330,1.58,1.54,22,12.0,13,124,47,37.9,10.33,3.92,0.1,0.26,19.8,7,1,2,11.4,9.8,0.08,1.6,2.2,1,12,12,1080,12.0,14,1.17,46,32,69.6,3,7,2,3,25.0,0,0,0,0,22,12.0,15,0,0,113,115,16,178,102,108,2,0,0,497,158,149,51.5
vs Bologna,27,26.8,43.6,12,132,1080,12.0,8,3,11,6,2,2,31,2,12.0,10.7,7.0,17.7,132,258,0.75,1.58,27,12.0,8,114,31,27.2,9.5,2.58,0.05,0.19,17.7,6,2,2,12.0,10.7,0.09,-4.0,-4.7,3,12,12,1080,12.0,21,1.75,49,27,61.2,2,3,7,3,25.0,3,2,1,0,27,12.0,31,2,1,189,170,22,157,85,122,0,3,0,416,177,161,52.4
vs Cagliari,24,27.0,55.7,13,143,1170,13.0,19,15,34,19,0,0,27,1,19.3,19.3,16.4,35.6,247,521,2.62,2.74,24,13.0,19,172,65,37.8,13.23,5.0,0.11,0.29,16.9,5,0,0,19.3,19.3,0.12,-0.3,-0.3,1,13,13,1170,13.0,13,1.0,41,28,70.7,6,5,2,5,38.5,1,1,0,0,24,13.0,27,1,1,206,206,20,238,89,118,0,1,0,509,172,152,53.1
vs Como,23,27.0,39.5,13,143,1170,13.0,7,1,8,6,1,1,28,0,12.8,12.0,8.4,20.4,169,349,0.54,1.63,23,13.0,7,141,43,30.5,10.85,3.31,0.04,0.14,18.1,4,1,1,12.8,12.0,0.09,-5.8,-6.0,1,13,13,1170,13.0,19,1.46,69,49,72.5,1,6,6,4,30.8,1,0,1,0,23,13.0,28,0,0,171,188,26,169,137,130,0,1,0,472,145,178,44.9
vs Cremonese,27,26.9,53.5,12,132,1080,12.0,16,12,28,15,1,1,21,1,18.1,17.3,14.3,31.6,233,499,2.25,2.7,27,12.0,16,192,62,32.3,16.0,5.17,0.08,0.24,17.1,5,1,1,18.1,17.3,0.09,-2.1,-2.3,2,12,12,1080,12.0,13,1.08,37,24,67.6,4,5,3,3,25.0,1,1,0,0,27,12.0,21,1,0,157,138,24,238,78,100,1,1,0,505,192,179,51.8
vs Fiorentina,23,27.0,50.2,12,132,1080,12.0,19,14,33,16,3,4,27,1,18.0,15.3,11.4,26.7,204,397,2.5,2.44,23,12.0,19,149,53,35.6,12.42,4.42,0.11,0.3,16.6,5,3,4,18.0,15.3,0.1,1.0,0.7,1,12,12,1080,12.0,10,0.83,31,21,77.4,6,6,0,4,33.3,3,3,0,0,23,12.0,27,1,1,212,160,9,205,64,122,3,3,0,422,177,168,51.3
vs Genoa,24,27.1,50.8,13,143,1170,13.0,19,12,31,17,2,2,29,2,15.1,13.7,9.6,23.2,142,369,2.23,1.9,24,13.0,19,135,48,35.6,10.38,3.69,0.13,0.35,15.5,4,2,2,15.1,13.7,0.11,3.9,3.3,1,13,13,1170,13.0,13,1.0,49,34,73.5,6,5,2,5,38.5,2,0,2,0,24,13.0,29,2,1,194,183,22,204,90,117,0,2,0,436,243,228,51.6
vs Hellas Verona,25,26.5,59.9,13,143,1170,13.0,19,15,34,19,0,1,25,0,15.3,14.4,10.8,25.2,210,578,2.62,2.01,25,13.0,19,163,53,32.5,12.54,4.08,0.12,0.36,18.7,10,0,1,15.3,14.4,0.09,3.7,4.6,1,13,13,1170,13.0,8,0.62,60,52,88.3,7,6,0,6,46.2,1,1,0,0,25,13.0,25,0,0,114,221,18,226,89,105,1,1,0,508,278,217,56.2
vs Inter,24,27.5,39.6,12,132,1080,12.0,13,10,23,11,2,2,20,1,9.7,8.2,6.8,15.1,139,319,1.75,1.38,24,12.0,13,105,38,36.2,8.75,3.17,0.1,0.29,18.7,2,2,2,9.7,8.2,0.08,3.3,2.8,2,12,12,1080,12.0,26,2.17,64,39,62.5,4,0,8,1,8.3,3,2,1,0,24,12.0,20,1,1,139,156,17,147,108,66,1,3,2,389,130,180,41.9
vs Juventus,24,27.5,41.6,13,143,1170,13.0,12,9,21,11,1,2,32,1,11.2,9.7,6.7,16.4,172,312,1.54,1.38,24,13.0,12,140,36,25.7,10.77,2.77,0.08,0.31,19.0,4,1,2,11.2,9.7,0.07,0.8,1.3,2,13,13,1170,13.0,17,1.31,72,55,79.2,2,5,6,4,30.8,2,2,0,0,24,13.0,32,1,1,152,163,6,207,107,102,1,2,0,446,169,163,50.9
vs Lazio,24,26.8,49.5,13,143,1170,13.0,10,8,18,10,0,0,36,0,17.6,17.6,14.8,32.4,204,476,1.38,2.49,24,13.0,10,173,58,33.5,13.31,4.46,0.06,0.17,16.3,6,0,0,17.6,17.6,0.1,-7.6,-7.6,1,13,13,1170,13.0,15,1.15,52,37,73.1,5,3,5,7,53.8,1,1,0,0,24,13.0,36,0,0,222,137,18,231,112,113,0,1,0,489,146,152,49.0
vs Lecce,23,27.0,55.3,12,132,1080,12.0,16,11,27,14,2,2,22,0,14.8,13.2,9.7,22.9,166,409,2.08,2.04,23,12.0,16,145,51,35.2,12.08,4.25,0.1,0.27,16.5,3,2,2,14.8,13.2,0.09,1.2,0.8,1,12,12,1080,12.0,8,0.67,35,26,77.1,6,4,2,6,50.0,1,0,1,0,23,12.0,22,0,0,164,146,22,202,98,135,2,1,0,506,196,202,49.2
vs Milan,24,27.4,50.1,13,143,1170,13.0,9,6,15,7,2,4,28,0,14.8,12.3,9.6,21.9,230,540,1.0,1.87,24,13.0,9,146,41,28.1,11.23,3.15,0.05,0.17,18.4,1,2,4,14.8,12.3,0.08,-5.8,-5.3,2,13,13,1170,13.0,19,1.46,58,39,70.7,1,4,8,1,7.7,3,2,0,1,24,13.0,28,0,0,159,118,16,295,96,105,2,3,0,473,146,141,50.9
vs Napoli,25,26.8,42.4,12,132,1080,12.0,11,7,18,9,2,4,19,2,14.0,11.1,8.7,19.8,156,307,1.33,1.89,25,12.0,11,131,28,21.4,10.92,2.33,0.07,0.32,19.8,4,2,4,14.0,11.1,0.09,-3.0,-2.1,2,12,12,1080,12.0,19,1.58,62,43,74.2,3,1,8,3,25.0,3,3,0,0,25,12.0,19,2,1,154,149,9,153,101,125,1,3,0,446,147,160,47.9
vs Parma,25,27.0,57.5,13,143,1170,13.0,17,11,28,15,2,3,24,1,16.3,13.9,11.0,24.9,206,512,2.0,2.1,25,13.0,17,172,54,31.4,13.23,4.15,0.09,0.28,18.2,6,2,3,16.3,13.9,0.08,0.7,1.1,2,13,13,1170,13.0,9,0.69,38,29,78.9,6,5,2,7,53.8,1,1,0,0,25,13.0,24,1,0,188,133,39,247,91,107,3,1,0,492,207,221,48.4
vs Pisa,25,27.7,61.4,12,132,1080,12.0,16,10,26,16,0,0,18,0,16.3,16.3,12.3,28.6,270,589,2.17,2.38,25,12.0,16,196,58,29.6,16.33,4.83,0.08,0.28,17.6,5,0,0,16.3,16.3,0.08,-0.3,-0.3,1,12,12,1080,12.0,10,0.83,30,21,80.0,4,7,1,6,50.0,4,4,0,0,25,12.0,18,0,0,150,146,16,247,63,103,0,4,1,472,174,221,44.1
vs Roma,23,27.7,41.5,12,132,1080,12.0,6,6,12,6,0,0,27,2,13.2,13.2,10.3,23.5,131,308,1.0,1.96,23,12.0,6,125,41,32.8,10.42,3.42,0.05,0.15,18.5,3,0,0,13.2,13.2,0.11,-7.2,-7.2,1,12,12,1080,12.0,15,1.25,63,47,77.8,3,0,9,3,25.0,2,1,1,0,23,12.0,27,2,0,190,167,19,159,101,119,0,2,0,483,198,185,51.7
