Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Ajax,26,25.4,42.2,13,143,1170,13.0,19,10,29,15,4,4,19,1,18.2,15.0,12.2,27.2,227,415,1.92,2.33,26,13.0,19,168,56,33.3,12.92,4.31,0.09,0.27,18.5,6,4,4,18.2,15.0,0.09,0.8,0.0,2,13,13,1170,13.0,23,1.77,75,52,70.7,3,5,5,1,7.7,1,1,0,0,26,13.0,19,1,1,173,131,15,207,116,149,1,1,0,525,139,163,46.0
vs AZ Alkmaar,26,25.4,45.8,13,143,1170,13.0,21,18,39,20,1,2,22,2,18.6,17.0,12.9,30.0,202,488,2.92,2.42,26,13.0,21,173,63,36.4,13.31,4.85,0.12,0.32,17.6,5,1,2,18.6,17.0,0.1,2.4,3.0,2,13,13,1170,13.0,26,2.0,81,54,72.8,3,3,7,0,0.0,6,4,2,0,26,13.0,22,2,1,141,129,14,230,121,141,1,6,1,558,172,135,56.0
vs Excelsior,28,26.0,56.1,14,154,1260,14.0,24,17,41,22,2,3,19,0,27.7,25.3,20.5,45.8,305,706,2.79,3.44,28,14.0,24,232,87,37.5,16.57,6.21,0.09,0.25,16.8,6,2,3,27.7,25.3,0.11,-3.7,-3.3,3,14,14,1260,14.0,14,1.0,57,42,78.9,8,1,5,3,21.4,4,2,1,1,28,14.0,19,0,0,131,192,26,303,101,125,3,4,0,599,229,203,53.0
vs Feyenoord,25,25.7,45.2,13,143,1170,13.0,16,11,27,14,2,2,16,3,12.1,10.7,7.3,18.0,207,358,1.92,1.5,25,13.0,16,122,41,33.6,9.38,3.15,0.11,0.34,19.2,1,2,2,12.1,10.7,0.09,3.9,3.3,1,13,13,1170,13.0,33,2.54,87,54,63.2,3,1,9,0,0.0,1,1,0,0,25,13.0,16,3,2,142,107,19,170,110,119,2,1,0,543,179,214,45.5
vs Fortuna Sittard,22,25.9,52.5,14,154,1260,14.0,21,18,39,20,1,1,19,1,22.5,21.7,19.2,40.9,269,644,2.71,2.97,22,14.0,21,195,74,37.9,13.93,5.29,0.1,0.27,16.1,6,1,1,22.5,21.7,0.11,-1.5,-1.7,1,14,14,1260,14.0,20,1.43,60,40,70.0,6,3,5,2,14.3,2,2,0,0,22,14.0,19,1,0,154,187,24,284,97,127,1,2,0,631,231,226,50.5
vs Go Ahead Eag,22,26.2,48.2,13,143,1170,13.0,21,13,34,21,0,0,27,2,23.1,23.1,17.3,40.4,294,486,2.62,3.11,22,13.0,21,240,76,31.7,18.46,5.85,0.09,0.28,16.3,3,0,0,23.1,23.1,0.1,-2.1,-2.1,1,13,13,1170,13.0,21,1.62,61,40,67.2,5,4,4,2,15.4,2,1,1,0,22,13.0,27,2,1,129,116,9,280,103,109,0,2,1,513,186,158,54.1
vs Groningen,21,25.9,49.8,13,143,1170,13.0,18,14,32,17,1,1,26,1,16.2,15.4,13.5,28.9,197,417,2.38,2.29,21,13.0,18,144,47,32.6,11.08,3.62,0.12,0.36,15.8,3,1,1,16.2,15.4,0.11,1.8,1.6,2,13,13,1170,13.0,19,1.46,82,63,78.0,5,2,6,3,23.1,1,1,0,0,21,13.0,26,1,1,141,146,17,201,108,154,1,1,0,571,252,192,56.8
vs Heerenveen,24,25.9,47.7,14,154,1260,14.0,24,15,39,23,1,1,23,2,18.3,17.6,13.3,30.9,180,411,2.71,2.26,24,14.0,24,144,60,41.7,10.29,4.29,0.16,0.38,17.1,4,1,1,18.3,17.6,0.13,5.7,5.4,2,14,14,1260,14.0,23,1.64,76,54,72.4,5,5,4,2,14.3,2,2,0,0,24,14.0,23,2,0,158,155,23,222,115,123,1,2,1,590,237,237,50.0
vs Heracles Almelo,24,25.6,55.9,14,154,1260,14.0,36,24,60,36,0,1,27,3,27.8,27.1,20.1,47.1,252,610,4.29,3.42,24,14.0,36,246,92,37.4,17.57,6.57,0.15,0.39,16.8,8,0,1,27.8,27.1,0.11,8.2,8.9,2,14,14,1260,14.0,22,1.57,59,37,64.4,9,1,4,5,35.7,1,1,0,0,24,14.0,27,3,2,158,170,17,297,95,108,0,1,0,520,215,256,45.6
vs NAC Breda,26,25.3,51.8,14,154,1260,14.0,22,14,36,19,3,3,31,0,24.0,21.8,19.2,41.0,264,531,2.36,3.09,26,14.0,22,179,68,38.0,12.79,4.86,0.11,0.28,17.3,7,3,3,24.0,21.8,0.12,-2.0,-2.8,2,14,14,1260,14.0,15,1.07,53,39,75.5,8,3,3,5,35.7,3,2,0,1,26,14.0,31,0,0,192,161,15,221,97,150,3,3,1,597,203,242,45.6
