Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,G+A-PK,xG+xAG,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_shooting,PKatt_shooting,xG_shooting,npxG_shooting,npxG/Sh,G-xG,np:G-xG,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alverca,26,26.2,54.4,12,132,1080,12.0,19,14,33,17,2,4,34,4,16.2,13.3,10.6,24.0,185,480,2.58,2.24,26,12.0,19,150,47,31.3,12.5,3.92,0.11,0.36,18.9,6,2,4,16.2,13.3,0.09,2.8,3.7,2,12,12,1080,12.0,14,1.17,41,27,70.7,6,2,4,3,25.0,3,2,1,0,26,12.0,34,4,1,173,155,10,247,80,112,3,3,1,462,120,147,44.9
vs Arouca,24,26.4,49.2,11,121,990,11.0,29,21,50,24,5,6,27,2,21.2,16.5,14.6,31.1,172,384,4.09,3.25,24,11.0,29,152,54,35.5,13.82,4.91,0.16,0.44,17.2,8,5,6,21.2,16.5,0.11,7.8,7.5,2,11,11,990,11.0,13,1.18,32,19,59.4,6,3,2,5,45.5,0,0,0,0,24,11.0,27,2,1,140,155,31,218,86,110,3,0,0,472,156,130,54.5
vs AVS Futebol,29,25.9,54.4,12,132,1080,12.0,29,20,49,25,4,5,35,2,20.8,16.9,14.1,31.0,191,483,3.75,2.91,29,12.0,29,156,52,33.3,13.0,4.33,0.16,0.48,17.2,7,4,5,20.8,16.9,0.11,8.2,8.1,2,12,12,1080,12.0,8,0.67,35,26,77.1,9,3,0,6,50.0,2,0,1,1,29,12.0,35,2,2,156,180,18,217,105,122,2,2,0,505,162,170,48.8
vs Benfica,26,25.9,38.8,12,132,1080,12.0,6,3,9,6,0,1,33,3,9.0,8.3,5.6,13.9,152,286,0.75,1.22,26,12.0,6,107,38,35.5,8.92,3.17,0.06,0.16,19.0,8,0,1,9.0,8.3,0.08,-3.0,-2.3,2,12,12,1080,12.0,25,2.08,71,46,74.6,0,4,8,1,8.3,7,7,0,0,26,12.0,33,3,1,166,138,7,157,84,122,0,7,0,437,164,198,45.3
vs Braga,25,25.5,36.2,11,121,990,11.0,11,9,20,10,1,2,31,0,12.4,10.8,9.0,19.8,103,236,1.73,1.94,25,11.0,11,98,30,30.6,8.91,2.73,0.1,0.33,19.0,1,1,2,12.4,10.8,0.12,-1.4,-0.8,1,11,11,990,11.0,19,1.73,56,37,76.8,3,4,4,2,18.2,6,6,0,0,25,11.0,31,0,0,147,109,22,122,117,95,2,6,0,435,132,132,50.0
vs Casa Pia,27,26.0,54.8,12,132,1080,12.0,26,15,41,22,4,5,34,0,20.5,16.6,11.1,27.8,170,423,3.08,2.63,27,12.0,26,159,55,34.6,13.25,4.58,0.14,0.4,18.4,6,4,5,20.5,16.6,0.11,5.5,5.4,3,12,12,1080,12.0,13,1.08,35,22,65.7,7,3,2,5,41.7,2,1,1,0,27,12.0,34,0,0,190,170,30,189,69,92,4,2,1,476,161,173,48.2
vs Estoril,24,26.4,48.5,11,121,990,11.0,17,8,25,13,4,4,22,1,16.3,13.3,8.3,21.6,164,330,1.91,2.24,24,11.0,17,120,35,29.2,10.91,3.18,0.11,0.37,17.8,3,4,4,16.3,13.3,0.11,0.7,-0.3,1,11,11,990,11.0,19,1.73,47,30,63.8,4,4,3,3,27.3,2,2,0,0,24,11.0,22,1,0,144,135,40,202,72,127,4,2,2,477,159,160,49.8
vs Estrela,28,26.1,49.5,11,121,990,11.0,14,8,22,12,2,3,34,4,14.0,11.6,7.8,19.4,138,345,1.82,1.99,28,11.0,14,130,41,31.5,11.82,3.73,0.09,0.29,17.9,8,2,3,14.0,11.6,0.09,0.0,0.4,1,11,11,986,11.0,13,1.19,40,27,75.0,4,5,2,5,45.5,4,3,0,1,28,11.0,34,4,1,188,145,14,204,98,102,3,4,0,396,146,151,49.2
vs Famalicão,22,26.0,49.7,12,132,1080,12.0,7,5,12,6,1,1,30,3,11.4,10.6,8.9,19.5,128,341,0.92,1.69,22,12.0,7,136,46,33.8,11.33,3.83,0.04,0.13,19.7,5,1,1,11.4,10.6,0.08,-4.4,-4.6,1,12,12,1080,12.0,13,1.08,48,35,72.9,2,5,5,3,25.0,0,0,0,0,22,12.0,30,3,3,197,220,28,207,90,100,1,0,0,493,188,172,52.2
vs Gil Vicente FC,25,26.2,52.8,12,132,1080,12.0,6,3,9,4,2,4,29,0,12.2,9.2,7.0,16.2,147,365,0.58,1.6,25,12.0,6,131,40,30.5,10.92,3.33,0.03,0.1,18.4,7,2,4,12.2,9.2,0.07,-6.2,-5.2,2,12,12,1080,12.0,16,1.33,52,35,73.1,3,2,7,3,25.0,4,2,1,1,25,12.0,29,0,0,177,176,18,215,102,117,3,4,0,471,198,166,54.4
vs Moreirense,25,25.4,52.3,12,132,1080,12.0,17,9,26,10,7,7,27,0,19.6,14.2,11.0,25.2,169,493,1.58,2.55,25,12.0,17,167,53,31.7,13.92,4.42,0.06,0.19,18.5,5,7,7,19.6,14.2,0.09,-2.6,-4.2,2,12,12,1080,12.0,18,1.5,38,20,52.6,5,1,6,2,16.7,0,0,0,0,25,12.0,27,0,0,175,169,16,257,99,123,4,0,0,521,169,139,54.9
vs Nacional,24,25.7,57.8,12,132,1080,12.0,17,13,30,14,3,3,33,2,19.0,16.7,12.6,29.2,192,500,2.25,2.63,24,12.0,17,182,49,26.9,15.17,4.08,0.08,0.29,18.3,11,3,3,19.0,16.7,0.09,-2.0,-2.7,2,12,12,1080,12.0,12,1.0,43,30,79.1,6,3,3,3,25.0,4,3,1,0,24,12.0,33,2,1,147,168,11,247,62,118,3,4,0,481,223,224,49.9
vs Porto,24,26.1,46.8,11,121,990,11.0,2,1,3,2,0,0,33,0,5.3,5.3,3.8,9.0,111,275,0.27,0.82,24,11.0,2,107,17,15.9,9.73,1.55,0.02,0.12,21.2,5,0,0,5.3,5.3,0.05,-3.3,-3.3,1,11,11,990,11.0,24,2.18,62,38,64.5,0,1,10,1,9.1,2,2,0,0,24,11.0,33,0,0,130,149,9,147,104,122,0,2,0,405,112,147,43.2
vs Rio Ave,26,25.9,56.8,11,121,990,11.0,19,15,34,18,1,1,28,2,19.2,18.4,14.8,33.2,240,550,3.0,3.09,26,11.0,19,195,62,31.8,17.73,5.64,0.09,0.29,16.6,3,1,1,19.2,18.4,0.1,-0.2,-0.4,2,11,11,990,11.0,14,1.27,42,28,69.0,3,6,2,3,27.3,1,1,0,0,26,11.0,28,2,2,168,159,19,300,80,100,1,1,0,504,116,124,48.3
vs Santa Clara,22,25.9,51.2,11,121,990,11.0,13,10,23,13,0,1,38,1,11.0,10.2,7.4,17.6,153,417,2.09,1.67,22,11.0,13,113,41,36.3,10.27,3.73,0.12,0.32,18.9,4,0,1,11.0,10.2,0.09,2.0,2.8,1,11,11,990,11.0,9,0.82,43,34,88.4,6,2,3,4,36.4,4,4,0,0,22,11.0,38,1,0,179,137,7,196,88,112,1,4,0,446,150,162,48.1
vs Sporting CP,23,26.3,37.8,11,121,990,11.0,6,4,10,5,1,1,37,4,6.8,6.0,4.6,10.5,93,256,0.82,1.03,23,11.0,6,83,25,30.1,7.55,2.27,0.06,0.2,21.2,3,1,1,6.8,6.0,0.07,-0.8,-1.0,2,11,11,990,11.0,27,2.45,79,53,69.6,1,1,9,0,0.0,3,3,0,0,23,11.0,37,4,3,153,121,12,120,119,118,1,3,1,454,105,121,46.5
vs Tondela,25,25.5,55.3,12,132,1080,12.0,19,13,32,16,3,3,28,1,19.6,17.3,13.3,30.6,232,455,2.42,2.75,25,12.0,19,176,63,35.8,14.67,5.25,0.09,0.25,17.6,5,3,3,19.6,17.3,0.1,-0.6,-1.3,1,12,12,1080,12.0,7,0.58,48,39,91.7,7,3,2,8,66.7,5,3,2,0,25,12.0,28,1,1,155,173,12,244,85,86,3,5,0,484,173,135,56.2
vs Vitória,28,26.1,51.5,12,132,1080,12.0,16,11,27,15,1,1,35,1,16.6,15.8,11.2,27.1,136,366,2.17,2.32,28,12.0,16,160,59,36.9,13.33,4.92,0.09,0.25,18.3,5,1,1,16.6,15.8,0.1,-0.6,-0.8,2,12,12,1080,12.0,14,1.17,44,29,72.7,5,2,5,5,41.7,3,2,1,0,28,12.0,35,1,1,179,161,11,180,92,91,0,3,0,415,170,153,52.6
