Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_shooting,PKatt_shooting,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
vs Alanyaspor,23,28.2,52.4,13,143,1170,13.0,14,11,25,13,1,2,28,0,1.85,23,13.0,14,151,57,37.7,11.62,4.38,0.09,0.23,,1,2,1,13,13,1170,13.0,13,1.0,48,37,77.1,4,6,3,4,30.8,2,2,0,0,23,13.0,28,0,0,201,153,29,218,127,117,,,0
vs Antalyaspor,29,28.2,57.4,13,143,1170,13.0,23,18,41,22,1,1,32,0,3.08,29,13.0,23,202,69,34.2,15.54,5.31,0.11,0.32,,1,1,2,13,13,1170,13.0,13,1.0,47,34,72.3,7,2,4,4,30.8,0,0,0,0,29,13.0,32,0,0,183,143,21,275,103,113,,,0
vs Başakşehir,26,27.9,44.1,14,154,1260,14.0,15,12,27,13,2,3,42,3,1.79,26,14.0,15,187,68,36.4,13.36,4.86,0.07,0.19,,2,3,2,14,14,1260,14.0,19,1.36,52,35,67.3,6,4,4,3,21.4,2,2,0,0,26,14.0,42,3,2,199,182,25,239,102,124,,,1
vs Beşiktaş,30,28.1,47.2,13,143,1170,13.0,16,8,24,15,1,1,34,2,1.77,30,13.0,16,152,48,31.6,11.69,3.69,0.1,0.31,,1,1,2,13,13,1170,13.0,22,1.69,62,43,67.7,4,3,6,2,15.4,3,2,1,0,30,13.0,34,2,1,160,179,25,253,122,115,,,1
vs Eyüpspor,26,28.3,49.4,14,154,1260,14.0,17,13,30,13,4,4,30,0,1.86,26,14.0,17,182,63,34.6,13.0,4.5,0.07,0.21,,4,4,2,14,14,1260,14.0,9,0.64,52,44,84.6,8,3,3,8,57.1,1,1,0,0,26,14.0,30,0,0,217,161,30,253,102,147,,,0
vs Fatih Karagümrük,26,28.1,52.3,13,143,1170,13.0,20,15,35,17,3,3,27,2,2.46,26,13.0,20,189,76,40.2,14.54,5.85,0.09,0.22,,3,3,1,13,13,1170,13.0,13,1.0,39,27,69.2,9,2,2,6,46.2,2,1,0,1,26,13.0,27,2,1,194,179,25,239,145,149,,,1
vs Fenerbahçe,30,28.2,39.3,13,143,1170,13.0,12,9,21,12,0,0,40,8,1.62,30,13.0,12,111,36,32.4,8.54,2.77,0.11,0.33,,0,0,4,13,13,1170,13.0,30,2.31,89,62,68.5,0,4,9,2,15.4,4,2,2,0,30,13.0,40,8,4,177,168,17,162,106,113,,,1
vs Galatasaray,25,28.1,36.9,13,143,1170,13.0,8,5,13,8,0,0,28,5,1.0,25,13.0,8,123,45,36.6,9.46,3.46,0.07,0.18,,0,0,2,13,13,1167,13.0,28,2.16,82,56,68.3,1,2,10,2,15.4,2,2,0,0,25,13.0,28,5,2,142,144,30,165,94,105,,,1
vs Gaziantep FK,27,28.4,45.6,14,154,1260,14.0,21,11,32,17,4,5,49,3,2.0,27,14.0,21,187,67,35.8,13.36,4.79,0.09,0.25,,4,5,3,14,14,1260,14.0,21,1.5,64,45,71.9,4,4,6,4,28.6,4,3,0,1,27,14.0,49,3,2,228,175,18,217,126,148,,,0
vs Gençlerbirliği,29,28.6,59.9,14,154,1260,14.0,20,14,34,18,2,2,30,1,2.29,29,14.0,20,229,62,27.1,16.36,4.43,0.08,0.29,,2,2,3,14,14,1260,14.0,14,1.0,40,29,70.0,9,2,3,4,28.6,3,2,1,0,29,14.0,30,1,0,204,173,38,330,85,132,,,1
