Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,# Pl_shooting,90s_shooting,Gls_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK_shooting,PKatt_shooting,# Pl_goalkeeping,MP_goalkeeping,Starts_goalkeeping,Min_goalkeeping,90s_goalkeeping,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_goalkeeping,PKA,PKsv,PKm,# Pl_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
vs Alanyaspor,23,28.2,52.4,13,143,1170,13.0,14,11,25,13,1,2,28,0,1.85,23,13.0,14,151,57,37.7,11.62,4.38,0.09,0.23,,1,2,1,13,13,1170,13.0,13,1.0,48,37,77.1,4,6,3,4,30.8,2,2,0,0,23,13.0,28,0,0,201,153,29,218,127,117,,,0
vs Antalyaspor,29,28.2,57.4,13,143,1170,13.0,23,18,41,22,1,1,32,0,3.08,29,13.0,23,202,69,34.2,15.54,5.31,0.11,0.32,,1,1,2,13,13,1170,13.0,13,1.0,47,34,72.3,7,2,4,4,30.8,0,0,0,0,29,13.0,32,0,0,183,143,21,275,103,113,,,0
vs Başakşehir,26,27.9,43.6,13,143,1170,13.0,14,11,25,12,2,3,38,3,1.77,26,13.0,14,171,63,36.8,13.15,4.85,0.07,0.19,,2,3,2,13,13,1170,13.0,16,1.23,47,33,70.2,6,4,3,3,23.1,2,2,0,0,26,13.0,38,3,2,186,165,21,201,101,115,,,1
vs Beşiktaş,30,28.0,47.2,13,143,1170,13.0,16,8,24,15,1,1,34,2,1.77,30,13.0,16,152,48,31.6,11.69,3.69,0.1,0.31,,1,1,2,13,13,1170,13.0,22,1.69,62,43,67.7,4,3,6,2,15.4,3,2,1,0,30,13.0,34,2,1,160,179,25,253,122,115,,,1
vs Eyüpspor,25,28.3,48.6,13,143,1170,13.0,16,12,28,12,4,4,29,0,1.85,25,13.0,16,169,58,34.3,13.0,4.46,0.07,0.21,,4,4,2,13,13,1170,13.0,7,0.54,46,39,84.8,8,3,2,8,61.5,0,0,0,0,25,13.0,29,0,0,204,143,30,222,89,135,,,0
vs Fatih Karagümrük,26,28.1,52.3,13,143,1170,13.0,20,15,35,17,3,3,27,2,2.46,26,13.0,20,189,76,40.2,14.54,5.85,0.09,0.22,,3,3,1,13,13,1170,13.0,13,1.0,39,27,69.2,9,2,2,6,46.2,2,1,0,1,26,13.0,27,2,1,194,179,25,239,145,149,,,1
vs Fenerbahçe,30,28.2,39.3,13,143,1170,13.0,12,9,21,12,0,0,40,8,1.62,30,13.0,12,111,36,32.4,8.54,2.77,0.11,0.33,,0,0,4,13,13,1170,13.0,30,2.31,89,62,68.5,0,4,9,2,15.4,4,2,2,0,30,13.0,40,8,4,177,168,17,162,106,113,,,1
vs Galatasaray,25,28.1,36.9,13,143,1170,13.0,8,5,13,8,0,0,28,5,1.0,25,13.0,8,123,45,36.6,9.46,3.46,0.07,0.18,,0,0,2,13,13,1167,13.0,28,2.16,82,56,68.3,1,2,10,2,15.4,2,2,0,0,25,13.0,28,5,2,142,144,30,165,94,105,,,1
vs Gaziantep FK,27,28.3,45.9,13,143,1170,13.0,19,11,30,16,3,4,45,3,2.08,27,13.0,19,170,60,35.3,13.08,4.62,0.09,0.27,,3,4,3,13,13,1170,13.0,20,1.54,59,41,71.2,3,4,6,4,30.8,4,3,0,1,27,13.0,45,3,2,210,162,16,208,120,130,,,0
vs Gençlerbirliği,29,28.6,59.9,14,154,1260,14.0,20,14,34,18,2,2,30,1,2.29,29,14.0,20,229,62,27.1,16.36,4.43,0.08,0.29,,2,2,3,14,14,1260,14.0,14,1.0,40,29,70.0,9,2,3,4,28.6,3,2,1,0,29,14.0,30,1,0,204,173,38,330,85,132,,,1
